Transaction_ID,Platform,Product_Category,Product_Name,Advertised_Price,Actual_Market_Price,Payment_Method,Customer_Age,Customer_Region,label_logo,label_brand,label_qr,Scam_Flag
C1001,SocialMediaAd,Clothing,Levi's Jeans,169,162,Credit Card,32,Europe,1,0,0,1
C1002,SocialMediaAd,Clothing,Levi's Jeans,282,496,Crypto,23,US,1,1,0,1
C1003,FakeShop,Clothing,Burberry Coat,185,197,Crypto,56,Asia,1,0,0,1
C1004,StyleZone,Clothing,Puma Jacket,265,482,PayPal,32,US,0,0,0,1
C1005,StyleZone,Clothing,Zara Shirt,145,153,Credit Card,62,US,0,0,0,0
C1006,QuickBuy,Clothing,Zara Shirt,70,229,UPI,24,Asia,0,0,0,1
C1007,InstaStore,Clothing,Levi's Jeans,207,333,Crypto,34,Asia,0,0,1,1
C1008,SocialMediaAd,Clothing,Nike T-Shirt,349,424,PayPal,23,Africa,0,0,0,0
C1009,CheapStore,Clothing,Versace Pants,306,335,Debit Card,20,Europe,0,0,0,0
C1010,CheapStore,Clothing,Zara Shirt,203,190,Debit Card,42,Africa,0,1,0,1
C1011,InstaStore,Clothing,Designer Dress,89,233,Credit Card,60,Africa,0,1,0,1
C1012,SocialMediaAd,Clothing,Levi's Jeans,427,461,Crypto,64,Europe,0,0,0,0
C1013,TrendyMart,Clothing,Nike T-Shirt,115,344,Crypto,32,Africa,0,0,0,1
C1014,CheapStore,Clothing,Burberry Coat,284,267,UPI,43,Africa,0,0,0,1
C1015,FakeShop,Clothing,Puma Jacket,473,440,UPI,31,US,0,1,0,1
C1016,InstaStore,Clothing,Nike T-Shirt,74,223,Credit Card,65,Africa,1,1,0,1
C1017,SocialMediaAd,Clothing,Versace Pants,361,369,PayPal,41,Europe,0,0,0,0
C1018,TrendyMart,Clothing,H&M Sweater,328,402,Debit Card,25,Europe,0,0,0,0
C1019,SocialMediaAd,Clothing,Gucci T-Shirt,204,498,Debit Card,42,US,1,1,1,1
C1020,StyleZone,Clothing,Nike T-Shirt,136,420,Crypto,18,Asia,1,1,0,1
C1021,SocialMediaAd,Clothing,H&M Sweater,272,286,UPI,25,Africa,0,0,0,0
C1022,InstaStore,Clothing,Gucci T-Shirt,77,382,UPI,50,Europe,0,1,0,1
C1023,StyleZone,Clothing,Levi's Jeans,451,470,Crypto,56,Europe,0,0,0,1
C1024,TrendyMart,Clothing,Designer Dress,108,232,Crypto,18,Africa,0,0,1,1
C1025,InstaStore,Clothing,Burberry Coat,204,207,UPI,33,Asia,0,0,0,0
C1026,TrendyMart,Clothing,Versace Pants,174,190,PayPal,22,Europe,0,1,1,1
